Address,found_address,coordinates,District
"charents street, yerevan","Armenia, Yerevan, Charents Street","40.176347,44.527351",Կենտրոն
"օհանովի փողոց 12, երևան","Armenia, Yerevan, Ohanov Street, 12","40.179461,44.443403",Մալաթիա-Սեբաստիա
"օհանովի փողոց, yerevan","Armenia, Yerevan, Ohanov Street","40.179944,44.447814",Մալաթիա-Սեբաստիա
"garegin nzhdeh street, երևան","Armenia, Yerevan, Garegin Nzhdeh Street","40.152046,44.497006",Շենգավիթ
"մազմանյան փողոց 18, երևան","Armenia, Yerevan, Mazmanyan Street, 18","40.20836,44.465951",Աջափնյակ
"զորավար անդրանիկի փողոց 8, երևան","Armenia, Yerevan, Zoravar Andranik Street, 8","40.184794,44.447679",Մալաթիա-Սեբաստիա
"հալաբյան փողոց 15, երևան","Armenia, Yerevan, Halabyan Street, 15","40.193399,44.478357",Աջափնյակ
"ռուբինյանց փողոց 27/8, երևան","Armenia, Yerevan, Rubinyants Street, 27/8","40.213099,44.552423",Ավան
"գևորգ ջահուկյան փողոց 73, երևան","Armenia, Yerevan, Gevorg Jahukyan Street, 73","40.187653,44.527189",Կենտրոն
"արգիշտիի փողոց 11, երևան","Armenia, Yerevan, Argishti Street, 11","40.169904,44.503824",Կենտրոն
"լյուքսեմբուրգ փողոցի 1-ին նրբանցք 11, երևան","Armenia, Yerevan, Lyuksemburg Street 1st Lane, 9","40.187957,44.562196",Նոր Նորք
"զորավար անդրանիկի փողոց 61/1, երևան","Armenia, Yerevan, Zoravar Andranik Street, 61/1","40.177711,44.448982",Մալաթիա-Սեբաստիա
"վիկտոր համբարձումյան փողոց 8/1, երևան","Armenia, Yerevan, Viktor Hambardzumyan Street, 8/1","40.196775,44.499943",Արաբկիր
"shahsuvaryan street, yerevan","Armenia, Yerevan, Shahsuvaryan Street","40.207644,44.522958",Արաբկիր
"sayat nova avenu 16, երևան","Armenia, Yerevan, Sayat-Nova Avenue, 16","40.18157,44.521018",Կենտրոն
"սունդուկյան փողոց 21, երևան","Armenia, Yerevan, Sundukyan Street, 21","40.200439,44.50227",Արաբկիր
"գևորգ ջահուկյան փողոց 89, երևան","Armenia, Yerevan, Gevorg Jahukyan Street, 89","40.18642,44.527449",Կենտրոն
"եղիշե թադևոսյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Yeghishe Tadevosyan Street Lane","40.143546,44.486657",Շենգավիթ
"ռոստոմի փողոց 30, երևան","Armenia, Yerevan, Rostom Street, 30","40.16672,44.517972",Կենտրոն
"լեռ կամսարի փողոց 30/3, երևան","Armenia, Yerevan, Ler Kamsar Street, 30/3","40.1957,44.506204",Կենտրոն
"արամ խաչատրյան փողոց 33/2, երևան","Armenia, Yerevan, Aram Khachatryan Street, 33/2","40.209001,44.505423",Արաբկիր
"անաստաս միկոյան փողոց 88, երևան","Armenia, Yerevan, Anastas Mikoyan Street, 88","40.221851,44.504219",Դավթաշեն
"улица карапета улнеци, yerevan","Armenia, Yerevan, Karapet Ulnetsi Street","40.203869,44.534879",Քանաքեռ-Զեյթուն
"եկմալյան փողոց 1/1, երևան","Armenia, Yerevan, Yekmalyan Street, 1/1","40.184684,44.507678",Կենտրոն
"լենինգրադյան փողոց 31/6, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 31/6","40.190299,44.467271",Մալաթիա-Սեբաստիա
"կոմիտասի պողոտա 42, երևան","Armenia, Yerevan, Komitas Avenue, 42","40.206528,44.509106",Արաբկիր
"anastas mikoyan street 64/2, yerevan","Armenia, Yerevan, Anastas Mikoyan Street, 64/2","40.218642,44.500302",Դավթաշեն
"4-й квартал давташен 2/9, ереван","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block, 2/9","40.224268,44.498883",Դավթաշեն
"կուրղինյանի փողոց 11, երևան","Armenia, Yerevan, Kurghinyan Street, 11","40.168153,44.468466",Մալաթիա-Սեբաստիա
"արագածի փողոց, երևան","Armenia, Yerevan, Aragats Street","40.159855,44.484232",Շենգավիթ
"չեխովի փողոց 47, երևան","Armenia, Yerevan, Chekhov Street, 47","40.149185,44.473083",Շենգավիթ
"ծարավ աղբյուրի փողոց 55/33, երևան","Armenia, Yerevan, Tsarav Akhpyur Street, 55/33","40.219792,44.550348",Ավան
"tbilisian highway, երևան","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"գյուրջյան փողոց 15/1, երևան","Armenia, Yerevan, Gyurjyan Street, 15/1","40.192083,44.561307",Նոր Նորք
"rubinyants st, yerevan","Armenia, Yerevan, Rubinyants Street","40.203925,44.549871",Քանաքեռ-Զեյթուն
"մոլդովական փողոց 29/5, երևան","Armenia, Yerevan, Moldovakan Street, 29/5","40.20712,44.571251",Նոր Նորք
"ներքին շենգավիթի 11-րդ փողոցի 1-ին փակուղի, երևան","Armenia, Yerevan, Nerkin Shengavit 11th Street 1st Blind Alley","40.13843,44.481195",Շենգավիթ
"պարոնյան փողոց , երևան","Armenia, Yerevan, Paronyan Street","40.183692,44.500491",Կենտրոն
"վերին անտառային փողոց 146/7, երևան","Armenia, Yerevan, Verin Antarayin Street, 146/7","40.196961,44.511936",Կենտրոն
"սոսեի փողոց, երևան","Armenia, Yerevan, Sose Street","40.194584,44.502943",Արաբկիր
"մամիկոնյանց փողոց 51, երևան","Armenia, Yerevan, Mamikonyants Street, 51","40.209221,44.506941",Արաբկիր
"ջուղայի փողոց , երևան","Armenia, Yerevan, Jugha Street","40.197009,44.559286",Նոր Նորք
"tpagrichner street 64, yerevan","Armenia, Yerevan, Tpagrichner Street","40.178014,44.519715",Կենտրոն
"galshoyan st, yerevan","Armenia, Yerevan, Galshoyan Street","40.182086,44.571152",Նոր Նորք
"արշակունյաց պողոտա 13, երևան","Armenia, Yerevan, Arshakunyats Avenue, 15","40.165024,44.505135",Կենտրոն
"գյուլբենկյան փողոց 2/1, երևան","Armenia, Yerevan, Gyulbenkyan Street, 2/1","40.19468,44.500662",Արաբկիր
"lukashin street, երևան","Armenia, Yerevan, Lukashin Street","40.19437,44.453868",Աջափնյակ
"միքայել նալբանդյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Mikayel Nalbandyan Street Lane","40.180584,44.517891",Կենտրոն
"nikogajos tigranyan backstreet, yerevan","Armenia, Yerevan, Rose Gold Yerevan Residential Complex","40.204104,44.513517",Արաբկիր
"գաջեգործների փողոց, երևան","Armenia, Yerevan, Gajegortsner Street","40.1541,44.534798",Էրեբունի
"երվանդ քոչարի փողոց 9/2, երևան","Armenia, Yerevan, Yervand Kochar Street, 9","40.171055,44.518323",Կենտրոն
"շովրոյան փողոց, երևան","Armenia, Yerevan, Shovroyan Street","40.205405,44.547491",Քանաքեռ-Զեյթուն
"ohanov street, երևան","Armenia, Yerevan, Ohanov Street","40.179944,44.447814",Մալաթիա-Սեբաստիա
"արարատյան փողոց 62, երևան","Armenia, Yerevan, Araratyan Street, 62","40.141333,44.468727",Շենգավիթ
"լենինգրադյան փողոց 48/4, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 48/4","40.192703,44.465627",Աջափնյակ
"davtashen 3rd block, yerevan","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block, 3","40.222189,44.497545",Դավթաշեն
"արաբկիրի 19-րդ փողոց 21, երևան","Armenia, Yerevan, Davit Hovhannes Street, 21","40.202347,44.508782",Արաբկիր
"ազատամարտիկների փողոց, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Azatamartikner Street","40.219462,44.479551",Դավթաշեն
"վարդանանց փողոց 16, երևան","Armenia, Yerevan, Vardanants Street, 16","40.176429,44.519194",Կենտրոն
"արարատյան փողոց 62/1, երևան","Armenia, Yerevan, Araratyan Street, 62/1","40.141505,44.470595",Շենգավիթ
"զորավար անդրանիկի փողոց 112, երևան","Armenia, Yerevan, Zoravar Andranik Street, 112","40.16743,44.444463",Մալաթիա-Սեբաստիա
"եզնիկ կողբացու փողոց 28, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street, 28","40.181549,44.511163",Կենտրոն
"արշակունյաց պողոտա 18/4, երևան","Armenia, Yerevan, Arshakunyats Avenue, 18/4","40.166224,44.503168",Կենտրոն
"լվովյան փողոց 10, երևան","Armenia, Yerevan, Lvovyan Street, 10","40.203704,44.563355",Նոր Նորք
"խորենացու փողոց 45, երևան","Armenia, Yerevan, Khorenatsi Street, 45","40.164377,44.5164",Կենտրոն
"11-я улица нубарашена 10, ереван","Armenia, Yerevan, Nubarashen 11th Street, 10","40.082554,44.54467",Նուբարաշեն
"մոնթե մելքոնյան փողոց 46/1, երևան","Armenia, Yerevan, Monte Melkonyan Street, 46/1","40.186441,44.477809",Մալաթիա-Սեբաստիա
"օհանովի փողոց 2/2, երևան","Armenia, Yerevan, Ohanov Street, 2/2","40.180901,44.442056",Մալաթիա-Սեբաստիա
"նորաշեն թաղամաս 31, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Norashen Quarter, 31","40.213656,44.471934",Աջափնյակ
"նիկողայոս տիգրանյան փողոց 12, երևան","Armenia, Yerevan, Nikoghayos Tigranyan Street, 12","40.210757,44.521161",Արաբկիր
"միհայ էմինեսկու փողոց 4/1, երևան","Armenia, Yerevan, Mihai Eminescu Street, 4","40.202106,44.553537",Կենտրոն
"վաղարշ վաղարշյան փողոց 21/1, երևան","Armenia, Yerevan, Vagharshyan Street, 21/1","40.203993,44.496853",Արաբկիր
"սամվել գևորգյան փողոց 4, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Samvel Gevorgyan Street, 4","40.211466,44.485381",Դավթաշեն
"rubinyants street, yerevan","Armenia, Yerevan, Rubinyants Street","40.203925,44.549871",Քանաքեռ-Զեյթուն
"արաբկիրի 17-րդ փողոց, երևան","Armenia, Yerevan, Levon Khechoyan Street","40.202561,44.507938",Արաբկիր
"ռուբինյանց փողոց 23/1, երևան","Armenia, Yerevan, Rubinyants Street, 23/1","40.204379,44.549171",Քանաքեռ-Զեյթուն
"դավթաշեն 2-րդ թաղամաս 46/4, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 2nd Block, 46/4","40.223428,44.492514",Դավթաշեն
"улица царав ахбюр, ереван","Armenia, Yerevan, Tsarav Akhpyur Street","40.218147,44.545838",Քանաքեռ-Զեյթուն
"կոմիտասի պողոտա 9, երևան","Armenia, Yerevan, Komitas Avenue, 9","40.20274,44.497706",Արաբկիր
"տիչինայի փողոց 58, երևան","Armenia, Yerevan, Tychyna Street, 58","40.184112,44.456941",Մալաթիա-Սեբաստիա
"մինաս ավետիսյան 2 փողոց, երևան","Armenia, Yerevan, Hunan Avetisyan Street, 2","40.178607,44.561415",Նոր Նորք
"ռուբինյանց փողոց 20, երևան","Armenia, Yerevan, Rubinyants Street, 20","40.202719,44.547473",Քանաքեռ-Զեյթուն
"աշոտ հովհաննիսյանի փողոց 12, երևան","Armenia, Yerevan, Ashot Hovhannisyan Street, 12","40.19269,44.572177",Նոր Նորք
"պարոնյան փողոց 28, երևան","Armenia, Yerevan, Paronyan Street, 28","40.180805,44.499638",Կենտրոն
"սմբատ զորավարի փողոց, երևան","Armenia, Yerevan, Smbat Zoravar Street","40.153797,44.50174",Շենգավիթ
"աղբյուր սերոբի փողոց 1, երևան","Armenia, Yerevan, Aghbyur Serob Street, 1","40.195645,44.499835",Արաբկիր
"լուկաշինի փողոց 1, երևան","Armenia, Yerevan, Lukashin Street, 1","40.192717,44.455054",Աջափնյակ
"շահամիրյանների փողոց 1, երևան","Armenia, Yerevan, Shahamiryanner Street, 1","40.142567,44.481294",Շենգավիթ
"արամ խաչատրյան փողոց, 1-ին նրբանցք 2, երևան","Armenia, Yerevan, Aram Khachatryan Street 1st Lane, 2","40.207954,44.506312",Արաբկիր
"հրաչյա ներսիսյան փողոց 14/2, երևան","Armenia, Yerevan, Hrachya Nersisyan Street, 14/2","40.204868,44.530719",Քանաքեռ-Զեյթուն
"հակոբ հակոբյան նրբանցք, երևան","Armenia, Yerevan, Hakob Hakobyan Street Lane","40.201369,44.491894",Արաբկիր
"զորավար անդրանիկի թաղամաս բ2 139, երևան","Armenia, Yerevan, The Administrative District of Malatia-Sebastia, Zoravar Andranik District","40.174135,44.445864",Մալաթիա-Սեբաստիա
"տերյան փողոց 66, երևան","Armenia, Yerevan, Teryan Street, 66","40.187922,44.521503",Կենտրոն
"բագրատունյաց փողոց 22, երևան","Armenia, Yerevan, Bagratunyats Street, 22","40.149268,44.484151",Շենգավիթ
"մամիկոնյանց փողոց 27, երևան","Armenia, Yerevan, Mamikonyants Street, 27","40.20909,44.518125",Արաբկիր
"տիտոգրադյան փողոց, երևան","Armenia, Yerevan, Titogradyan Street","40.130977,44.524467",Էրեբունի
"հալաբյան փողոց 37, երևան","Armenia, Yerevan, Halabyan Street, 37","40.198201,44.478994",Աջափնյակ
"գյուլիքեխվյան նրբանցք, երևան","Armenia, Yerevan, 1st Street 10 alley","40.143436,44.543206",Էրեբունի
"պարույր սևակի փողոց 5, երևան","Armenia, Yerevan, Paruyr Sevak Street, 5","40.210592,44.534555",Քանաքեռ-Զեյթուն
"մոլդովական փողոց 29/4, երևան","Armenia, Yerevan, Moldovakan Street, 29/4","40.207596,44.571359",Նոր Նորք
"улица андраника зоравара, yerevan","Armenia, Yerevan, Zoravar Andranik Street","40.175162,44.44573",Մալաթիա-Սեբաստիա
"բագրատունյաց փողոց 24a, երևան","Armenia, Yerevan, Bagratunyats Street, 24A","40.148951,44.48469",Շենգավիթ
"հունան ավետիսյան փողոց 37, երևան","Armenia, Yerevan, Hunan Avetisyan Street, 37","40.175506,44.565089",Նոր Նորք
"սևաստոպոլյան փողոց, երևան","Armenia, Yerevan, Sevastopolyan Street","40.195452,44.486953",Արաբկիր
"արշակունյաց պողոտա 127/13, երևան","Armenia, Yerevan, Arshakunyats Avenue, 127/13","40.131391,44.48866",Շենգավիթ
"ագաթանգեղոսի փողոց , երևան","Armenia, Yerevan, Agatangeghos Street","40.172364,44.511325",Կենտրոն
"տիգրան պետրոսյան փողոց , երևան","Armenia, Yerevan, Tigran Petrosyan Street","40.222898,44.495784",Դավթաշեն
"ամիրյան փողոց 12, երևան","Armenia, Yerevan, Amiryan Street, 12","40.180702,44.508432",Կենտրոն
"շիրակի փողոց 72, երևան","Armenia, Yerevan, Shirak Street, 72","40.149599,44.45173",Շենգավիթ
"արմեն տիգրանյանի փողոց 38, երևան","Armenia, Yerevan, Armen Tigranyan Street, 38","40.200026,44.525545",Քանաքեռ-Զեյթուն
"տիգրան պետրոսյանի փողոց 1/7, երևան","Armenia, Yerevan, Tigran Petrosyan Street, 1/7","40.217423,44.486971",Դավթաշեն
"դավթաշեն 4-րդ թաղամաս 2/9, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block, 2/9","40.224268,44.498883",Դավթաշեն
"զաքարիա սարկավագի 6-րդ նրբանցք, երևան","Armenia, Yerevan, High Park Yerevan Residential Complex","40.222216,44.551443",Ավան
"գուսան շերամի փողոց 109, երևան","Armenia, Yerevan, Gusan Sheram Street, 109","40.176009,44.439963",Մալաթիա-Սեբաստիա
"շենգավիթ վարչական շրջան , երևան","Armenia, Yerevan, The Administrative District of Shengavit","40.148496,44.490789",Շենգավիթ
"40.212044, 44.538680, երևան","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"մալաթիա-սեբաստիա վարչական շրջան, երևան","Armenia, Yerevan, The Administrative District of Malatia-Sebastia","40.173811,44.457587",Մալաթիա-Սեբաստիա
"21-я улица арабкир, ереван","Armenia, Yerevan, Slavik Chiloyan Street, 21","40.200687,44.510157",Արաբկիր
"սպենդիարյան փողոց, երևան","Armenia, Yerevan, Spendiaryan Street","40.187392,44.512358",Կենտրոն
"մարգարյան փողոց 41, երևան","Armenia, Yerevan, Margaryan Street, 41","40.203332,44.470362",Աջափնյակ
"ֆուչիկի փողոց 1/3, երևան","Armenia, Yerevan, Fuchik Street, 1/3","40.199881,44.477063",Աջափնյակ
"թբիլիսյան խճուղի 3, երևան","Armenia, Yerevan, Tbilisyan Highway, 3","40.221053,44.529435",Արաբկիր
"հալաբյան փողոց 75/1, երևան","Armenia, Yerevan, Halabyan Street, 75/1G","40.210654,44.478905",Աջափնյակ
"սարի թաղ 7-րդ փողոց, երևան","Armenia, Yerevan, Sari Tagh 7th Street","40.162171,44.525096",Էրեբունի
"մարո մարգարյան փողոց, երևան","Armenia, Yerevan, Maro Margaryan Street","40.199936,44.510453",Արաբկիր
"զաքարիա քանաքեռցու փողոց 117/2, երևան","Armenia, Yerevan, Zakaria Kanakertsi Street, 117/2","40.224365,44.544212",Քանաքեռ-Զեյթուն
"muratsan street 126/6, yerevan","Armenia, Yerevan, Muratsan Street, 126/5","40.147648,44.515879",Էրեբունի
"մանթաշյան փողոց 10ա, երևան","Armenia, Yerevan, Mantashyan Street, 10A","40.149633,44.491382",Շենգավիթ
"օհանովի փողոց 50, երևան","Armenia, Yerevan, Ohanov Street, 50","40.179206,44.449952",Մալաթիա-Սեբաստիա
"պռոշյան փողոց, երևան","Armenia, Yerevan, Proshyan Street","40.189769,44.50395",Կենտրոն
"նարեկացի թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Narekatsi District","40.219634,44.580639",Ավան
"դավթաշեն 4-րդ թաղամաս 25/1, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block, 25/1","40.220632,44.499162",Դավթաշեն
"օրբելի եղբայրների փողոց 16, երևան","Armenia, Yerevan, Orbeli Brothers Street, 16","40.193489,44.490241",Արաբկիր
"նազարբեկյան թաղամաս 44, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Nazarbekyan Quarter, 44","40.215034,44.458019",Աջափնյակ
"սասնա ծռերի փողոց 2, երևան","Armenia, Yerevan, Sasna Tsrer Street, 2","40.214235,44.490771",Դավթաշեն
"սեբաստիայի փողոց 30, երևան","Armenia, Yerevan, Sebastia Street, 30","40.17993,44.45889",Մալաթիա-Սեբաստիա
"վահրամ փափազյան փողոց 26, երևան","Armenia, Yerevan, Vahram Papazyan Street, 26","40.2069,44.500671",Արաբկիր
"զաքյան փողոց 2, երևան","Armenia, Yerevan, Zaqyan Street, 2","40.179069,44.509429",Կենտրոն
"արգիշտիի փողոց 7/10, երևան","Armenia, Yerevan, Argishti Street, 7/10","40.169201,44.503842",Կենտրոն
"թոթովենցի նրբանցք, երևան","Armenia, Yerevan, Totovents Street","40.203132,44.568997",Նոր Նորք
"նորագյուղ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Kentron, Noragyugh District","40.167388,44.493143",Կենտրոն
"ղափանցյան փողոց 13, երևան","Armenia, Yerevan, Ghapantsyan Street, 13/8","40.218987,44.512636",Արաբկիր
"վերին շենգավիթի 2-րդ փողոց 20/2, երևան","Armenia, Yerevan, Verin Shengavit 2nd Street, 20/2","40.154107,44.493799",Շենգավիթ
"ղազար փարպեցու փողոց 26, երևան","Armenia, Yerevan, Ghazar Parpetsi Street, 26","40.185766,44.511558",Կենտրոն
"փարպեցու փողոց, երևան","Armenia, Yerevan, Ghazar Parpetsi Street","40.184953,44.510319",Կենտրոն
"սեբաստիայի փողոց 3/9, երևան","Armenia, Yerevan, Sebastia Street, 3/9","40.188652,44.463552",Մալաթիա-Սեբաստիա
"զորավար անդրանիկ բ2 թաղամաս 21, երևան","Armenia, Yerevan, The Administrative District of Malatia-Sebastia, Zoravar Andranik District, B2 of Zoravar Andranik Neighbourhood unit, 21","40.165259,44.443116",Մալաթիա-Սեբաստիա
"կարապետ ուլնեցու 3-րդ փակուղի, երևան","Armenia, Yerevan, Karapet Ulnetsu Street 3nd Deadlock","40.209104,44.539253",Քանաքեռ-Զեյթուն
"ավետ ավետիսյան փողոց 67, երևան","Armenia, Yerevan, Avet Avetisyan Street, 67","40.199943,44.504084",Արաբկիր
"բրյուսովի փողոց 28, երևան","Armenia, Yerevan, Bryusov Street, 28","40.168539,44.503267",Կենտրոն
"պարոնյան փողոց 28a, երևան","Armenia, Yerevan, Paronyan Street, 28A","40.180591,44.500231",Կենտրոն
"մալաթիա-սեբաստիա վարչական շրջան , երևան","Armenia, Yerevan, The Administrative District of Malatia-Sebastia","40.173811,44.457587",Մալաթիա-Սեբաստիա
"բաղրամյան պողոտա 2/83, երևան","Armenia, Yerevan, Baghramyan Avenue, 2","40.188914,44.514109",Կենտրոն
"խորենացու փողոց 29, երևան","Armenia, Yerevan, Khorenatsi Street, 29","40.173287,44.511468",Կենտրոն
"կոմիտասի պողոտա , երևան","Armenia, Yerevan, Komitas Avenue","40.206239,44.50721",Արաբկիր
"ներքին շենգավիթի 11-րդ փողոց 39/1, երևան","Armenia, Yerevan, Vahram Aristakesyan Street, 39/1","40.138361,44.481599",Շենգավիթ
"դավթաշենի 1-ին զանգված 75, երևան","Armenia, Yerevan, Araratyan First Array","40.166975,44.464064",Մալաթիա-Սեբաստիա
"ծովակալ իսակովի պողոտա 44, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 44","40.161344,44.443888",Մալաթիա-Սեբաստիա
"pushkin street, yerevan","Armenia, Yerevan, Pushkin Street","40.182913,44.512349",Կենտրոն
"դավիթ հովհաննեսի փողոց 6, երևան","Armenia, Yerevan, Davit Hovhannes Street, 6","40.201569,44.507435",Արաբկիր
"tsarav aghbyur street 134/4, yerevan","Armenia, Yerevan, Tsarav Akhpyur Street, 134/4","40.21597,44.5498",Քանաքեռ-Զեյթուն
"առնո բաբաջանյան փողոց 8, երևան","Armenia, Yerevan, Arno Babajanyan Street, 8","40.172295,44.435794",Մալաթիա-Սեբաստիա
"դավթաշեն 4-րդ թաղամաս 48/1, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block, 48/1","40.224117,44.500428",Դավթաշեն
"rafael lemkin street, yerevan","Armenia, Yerevan, Rafael Lemkin Street","40.189031,44.511504",Կենտրոն
"բրյուսովի փողոց 38, երևան","Armenia, Yerevan, Bryusov Street, 38","40.168463,44.502845",Կենտրոն
"շահամիրյանների փողոց, երևան","Armenia, Yerevan, Shahamiryanner Street","40.14196,44.485804",Շենգավիթ
"իսահակյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Isahakyan District","40.216459,44.577827",Ավան
"շահսուվարյան փողոց 5, երևան","Armenia, Yerevan, Shahsuvaryan Street, 5","40.207582,44.522688",Արաբկիր
"դավթաշեն 4-րդ թաղամաս 49, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 4th Block, 49","40.22369,44.500374",Դավթաշեն
"առնո բաբաջանյան փողոց 49, երևան","Armenia, Yerevan, Arno Babajanyan Street, 49","40.168615,44.440349",Մալաթիա-Սեբաստիա
"նոր արեշի 35-րդ փողոց 127/2, երևան","Armenia, Yerevan, Nor Aresh 35th Street, 127/2","40.132804,44.524925",Էրեբունի
"արամ խաչատրյան փողոց 18, երևան","Armenia, Yerevan, Aram Khachatryan Street, 18","40.205433,44.499126",Արաբկիր
"բաղրամյան պողոտա , երևան","Armenia, Yerevan, Baghramyan Avenue","40.192249,44.504093",Արաբկիր
"40.21721, 44.58273, երևան","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"հանրապետության հրապարակ , երևան","Armenia, Yerevan, Republic Square","40.17787,44.512888",Կենտրոն
"ազատության պողոտա 7a, երևան","Armenia, Yerevan, Azatutyan Avenue, 7A","40.20141,44.521404",Արաբկիր
"armen gulakyan street, yerevan","Armenia, Yerevan, Armen Gulakyan Street","40.196947,44.501919",Արաբկիր
"կիևյան փողոց 7, երևան","Armenia, Yerevan, Kievyan Street, 7","40.195046,44.487807",Արաբկիր
"քանաքեռ-զեյթուն վարչական շրջան , երևան","Armenia, Yerevan, The Administrative District of Kanaker-Zeytun","40.211948,44.539738",Քանաքեռ-Զեյթուն
"դավիթ մալյան փողոցի նրբանցք 4, երևան","Armenia, Yerevan, Davit Malyan Street Lane, 4","40.206873,44.566634",Նոր Նորք
"բուզանդի փողոց, երևան","Armenia, Yerevan, Pavstos Buzand Street","40.178193,44.514442",Կենտրոն
"գայի պողոտա 1/1, երևան","Armenia, Yerevan, Gai Avenue, 1/1","40.205605,44.564325",Նոր Նորք
"norashen district, yerevan","Armenia, Yerevan, The Administrative District of Ajapnyak, Norashen Quarter","40.213333,44.469634",Աջափնյակ
"աբելյան փողոց 2/2, երևան","Armenia, Yerevan, Abelyan Street, 2/1","40.199227,44.478078",Աջափնյակ
"բրյուսովի փողոց 165a, երևան","Armenia, Yerevan, Bryusov Street, 165A","40.166692,44.502719",Կենտրոն
"նար-դոսի փողոց 75, երևան","Armenia, Yerevan, Nar-Dos Street, 75","40.167037,44.520191",Կենտրոն
"մոսկովյան փողոց 28, երևան","Armenia, Yerevan, Moskovyan Street, 28","40.18817,44.511298",Կենտրոն
"մոլդովական փողոց 43/4, երևան","Armenia, Yerevan, Moldovakan Street, 43/4","40.198876,44.574153",Նոր Նորք
"տիգրան պետրոսյան փողոց 40, երևան","Armenia, Yerevan, Tigran Petrosyan Street, 40","40.221156,44.49396",Դավթաշեն
"տիգրան պետրոսյանի փողոց 45, երևան","Armenia, Yerevan, Shirak Street, 45","40.141995,44.440942",Շենգավիթ
"սլավիկ չիլոյան փողոց 18, երևան","Armenia, Yerevan, Slavik Chiloyan Street, 18","40.200439,44.510381",Արաբկիր
"պուշկինի փողոց 36, երևան","Armenia, Yerevan, Pushkin Street, 36","40.182293,44.513499",Կենտրոն
"ակսել բակունց փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Aksel Bakunts Street 1st Lane","40.191112,44.573587",Նոր Նորք
"arzumanyan street, yerevan","Armenia, Yerevan, Arzumanyan Street","40.193137,44.473497",Աջափնյակ
"արշակունյաց պողոտա 48/1, երևան","Armenia, Yerevan, Arshakunyats Avenue, 48/1","40.148737,44.49688",Շենգավիթ
"վրացական փողոցի 4-րդ նրբանցք, երևան","Armenia, Yerevan, Vratsakan Street 4th lane","40.208574,44.509241",Արաբկիր
"gay avenue, yerevan","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"նոյ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Malatia-Sebastia, Noy District","40.185504,44.467622",Մալաթիա-Սեբաստիա
"վահրամ փափազյան փողոց 11, երևան","Armenia, Yerevan, Vahram Papazyan Street, 11","40.199537,44.505081",Արաբկիր
"դավիթ մալյան փողոցի նրբանցք 2, երևան","Armenia, Yerevan, Davit Malyan Street Lane, 2","40.206811,44.565215",Նոր Նորք
"շևչենկոյի փողոց 10, երևան","Armenia, Yerevan, Shevchenko Street, 10","40.15623,44.483773",Շենգավիթ
"улица наири зарьяна, ереван","Armenia, Yerevan, Nairi Zaryan Street","40.20431,44.515502",Արաբկիր
"տիգրան մեծի պողոտա 63, երևան","Armenia, Yerevan, Tigran Mets Avenue, 63","40.158201,44.511603",Էրեբունի
"վազգեն սարգսյան փողոց 10, երևան","Armenia, Yerevan, Vazgen Sargsyan Street, 10","40.17614,44.511343",Կենտրոն
"գյուլբենկյան փողոց 30/3, երևան","Armenia, Yerevan, Gyulbenkyan Street, 30/3","40.200343,44.496368",Արաբկիր
"ամիրյան փողոց 4/4, երևան","Armenia, Yerevan, Amiryan Street, 4/4","40.179406,44.51101",Կենտրոն
"մանթաշյան փողոց 4/7, երևան","Armenia, Yerevan, Mantashyan Street, 4/7","40.150846,44.491499",Շենգավիթ
"աբովյան փողոց 1/1, երևան","Armenia, Yerevan, Abovyan Street, 1/1","40.179261,44.513238",Կենտրոն
"զորավար անդրանիկ բ2 թաղամաս 138, երևան","Armenia, Yerevan, The Administrative District of Malatia-Sebastia, Zoravar Andranik District, B2 of Zoravar Andranik Neighbourhood unit, 138","40.166816,44.447517",Մալաթիա-Սեբաստիա
